bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=4096
856415 records sent, 171283.0 records/sec (20.91 MB/sec), 254.1 ms avg latency, 1054.0 max latency.
1000654 records sent, 200130.8 records/sec (24.43 MB/sec), 263.3 ms avg latency, 1002.0 max latency.
924562 records sent, 183226.7 records/sec (22.37 MB/sec), 266.0 ms avg latency, 1188.0 max latency.
907064 records sent, 180942.3 records/sec (22.09 MB/sec), 275.9 ms avg latency, 1173.0 max latency.
836611 records sent, 166192.1 records/sec (20.29 MB/sec), 303.6 ms avg latency, 1557.0 max latency.
953220 records sent, 189695.5 records/sec (23.16 MB/sec), 255.5 ms avg latency, 1079.0 max latency.
965044 records sent, 193008.8 records/sec (23.56 MB/sec), 262.7 ms avg latency, 1046.0 max latency.
1000883 records sent, 200176.6 records/sec (24.44 MB/sec), 263.8 ms avg latency, 1082.0 max latency.
963022 records sent, 192604.4 records/sec (23.51 MB/sec), 265.0 ms avg latency, 1094.0 max latency.
937194 records sent, 187438.8 records/sec (22.88 MB/sec), 269.7 ms avg latency, 1250.0 max latency.
922724 records sent, 184544.8 records/sec (22.53 MB/sec), 267.0 ms avg latency, 1014.0 max latency.
985467 records sent, 197093.4 records/sec (24.06 MB/sec), 256.7 ms avg latency, 995.0 max latency.
960098 records sent, 190722.7 records/sec (23.28 MB/sec), 262.2 ms avg latency, 1061.0 max latency.
946693 records sent, 188171.9 records/sec (22.97 MB/sec), 255.4 ms avg latency, 916.0 max latency.
987150 records sent, 194435.7 records/sec (23.73 MB/sec), 265.5 ms avg latency, 1103.0 max latency.
959494 records sent, 188062.3 records/sec (22.96 MB/sec), 261.1 ms avg latency, 1076.0 max latency.
949713 records sent, 189299.0 records/sec (23.11 MB/sec), 265.0 ms avg latency, 1066.0 max latency.
962063 records sent, 191913.6 records/sec (23.43 MB/sec), 258.5 ms avg latency, 1101.0 max latency.
979403 records sent, 194171.9 records/sec (23.70 MB/sec), 265.5 ms avg latency, 1091.0 max latency.
946410 records sent, 189282.0 records/sec (23.11 MB/sec), 261.7 ms avg latency, 1042.0 max latency.
985863 records sent, 196347.9 records/sec (23.97 MB/sec), 260.6 ms avg latency, 1002.0 max latency.
983423 records sent, 196684.6 records/sec (24.01 MB/sec), 256.4 ms avg latency, 858.0 max latency.
925120 records sent, 182146.1 records/sec (22.23 MB/sec), 272.2 ms avg latency, 1085.0 max latency.
961824 records sent, 192364.8 records/sec (23.48 MB/sec), 257.1 ms avg latency, 1088.0 max latency.
977747 records sent, 195549.4 records/sec (23.87 MB/sec), 258.5 ms avg latency, 1085.0 max latency.
954233 records sent, 190846.6 records/sec (23.30 MB/sec), 262.7 ms avg latency, 1031.0 max latency.
971061 records sent, 194173.4 records/sec (23.70 MB/sec), 264.7 ms avg latency, 1054.0 max latency.
923555 records sent, 183536.4 records/sec (22.40 MB/sec), 262.3 ms avg latency, 1116.0 max latency.
979447 records sent, 195850.2 records/sec (23.91 MB/sec), 258.9 ms avg latency, 1059.0 max latency.
1000255 records sent, 200051.0 records/sec (24.42 MB/sec), 263.1 ms avg latency, 1051.0 max latency.
1009160 records sent, 200628.2 records/sec (24.49 MB/sec), 248.0 ms avg latency, 917.0 max latency.
952995 records sent, 187045.1 records/sec (22.83 MB/sec), 263.2 ms avg latency, 1107.0 max latency.
990746 records sent, 198109.6 records/sec (24.18 MB/sec), 259.7 ms avg latency, 888.0 max latency.
917930 records sent, 183109.9 records/sec (22.35 MB/sec), 257.6 ms avg latency, 987.0 max latency.
979355 records sent, 195871.0 records/sec (23.91 MB/sec), 271.5 ms avg latency, 816.0 max latency.
955668 records sent, 190561.9 records/sec (23.26 MB/sec), 253.4 ms avg latency, 726.0 max latency.
918638 records sent, 183251.1 records/sec (22.37 MB/sec), 275.8 ms avg latency, 791.0 max latency.
906151 records sent, 180221.0 records/sec (22.00 MB/sec), 270.4 ms avg latency, 969.0 max latency.
980037 records sent, 193225.0 records/sec (23.59 MB/sec), 264.0 ms avg latency, 1050.0 max latency.
927514 records sent, 185502.8 records/sec (22.64 MB/sec), 279.3 ms avg latency, 1005.0 max latency.
945033 records sent, 189006.6 records/sec (23.07 MB/sec), 264.7 ms avg latency, 1011.0 max latency.
980256 records sent, 196051.2 records/sec (23.93 MB/sec), 262.1 ms avg latency, 942.0 max latency.
947557 records sent, 188194.0 records/sec (22.97 MB/sec), 264.7 ms avg latency, 846.0 max latency.
930168 records sent, 186033.6 records/sec (22.71 MB/sec), 265.9 ms avg latency, 781.0 max latency.
925528 records sent, 185105.6 records/sec (22.60 MB/sec), 264.8 ms avg latency, 1027.0 max latency.
1013107 records sent, 201693.6 records/sec (24.62 MB/sec), 253.4 ms avg latency, 816.0 max latency.
936398 records sent, 186273.7 records/sec (22.74 MB/sec), 266.8 ms avg latency, 836.0 max latency.
945884 records sent, 187601.0 records/sec (22.90 MB/sec), 273.7 ms avg latency, 905.0 max latency.
967285 records sent, 192456.2 records/sec (23.49 MB/sec), 261.0 ms avg latency, 902.0 max latency.
968368 records sent, 193673.6 records/sec (23.64 MB/sec), 257.7 ms avg latency, 878.0 max latency.
989165 records sent, 197833.0 records/sec (24.15 MB/sec), 256.0 ms avg latency, 734.0 max latency.
952299 records sent, 190459.8 records/sec (23.25 MB/sec), 258.3 ms avg latency, 829.0 max latency.
953715 records sent, 187186.5 records/sec (22.85 MB/sec), 261.4 ms avg latency, 845.0 max latency.
979860 records sent, 195972.0 records/sec (23.92 MB/sec), 259.1 ms avg latency, 996.0 max latency.
959842 records sent, 191585.2 records/sec (23.39 MB/sec), 259.4 ms avg latency, 914.0 max latency.
981489 records sent, 196297.8 records/sec (23.96 MB/sec), 258.3 ms avg latency, 939.0 max latency.
943399 records sent, 185380.0 records/sec (22.63 MB/sec), 268.0 ms avg latency, 866.0 max latency.
965372 records sent, 193035.8 records/sec (23.56 MB/sec), 261.3 ms avg latency, 892.0 max latency.
950502 records sent, 189418.5 records/sec (23.12 MB/sec), 272.5 ms avg latency, 1130.0 max latency.
931094 records sent, 186218.8 records/sec (22.73 MB/sec), 262.3 ms avg latency, 1169.0 max latency.
1020559 records sent, 204111.8 records/sec (24.92 MB/sec), 250.4 ms avg latency, 796.0 max latency.
939463 records sent, 186920.6 records/sec (22.82 MB/sec), 256.8 ms avg latency, 815.0 max latency.
976421 records sent, 193657.5 records/sec (23.64 MB/sec), 269.1 ms avg latency, 810.0 max latency.
