bin/kafka-run-class.sh org.apache.kafka.clients.tools.ProducerPerformance test-0 190000000 128 -1 acks=1 bootstrap.servers=ec2-54-68-208-77.us-west-2.compute.amazonaws.com:9092,ec2-54-68-237-193.us-west-2.compute.amazonaws.com:9092,ec2-54-68-181-243.us-west-2.compute.amazonaws.com:9092,ec2-54-69-44-82.us-west-2.compute.amazonaws.com:9092,ec2-54-69-78-228.us-west-2.compute.amazonaws.com:9092 buffer.memory=8000000 batch.size=4096
1234590 records sent, 246523.6 records/sec (30.09 MB/sec), 174.6 ms avg latency, 804.0 max latency.
938016 records sent, 187603.2 records/sec (22.90 MB/sec), 251.6 ms avg latency, 1002.0 max latency.
993398 records sent, 198679.6 records/sec (24.25 MB/sec), 267.0 ms avg latency, 1096.0 max latency.
901759 records sent, 179991.8 records/sec (21.97 MB/sec), 273.2 ms avg latency, 1173.0 max latency.
1010666 records sent, 195562.3 records/sec (23.87 MB/sec), 256.7 ms avg latency, 1058.0 max latency.
976438 records sent, 193277.5 records/sec (23.59 MB/sec), 252.7 ms avg latency, 876.0 max latency.
1050156 records sent, 210031.2 records/sec (25.64 MB/sec), 253.5 ms avg latency, 1057.0 max latency.
990203 records sent, 189440.0 records/sec (23.13 MB/sec), 257.8 ms avg latency, 1039.0 max latency.
980927 records sent, 195832.9 records/sec (23.91 MB/sec), 255.1 ms avg latency, 1043.0 max latency.
991452 records sent, 198290.4 records/sec (24.21 MB/sec), 257.1 ms avg latency, 1067.0 max latency.
966196 records sent, 190083.8 records/sec (23.20 MB/sec), 263.1 ms avg latency, 1124.0 max latency.
969115 records sent, 193397.5 records/sec (23.61 MB/sec), 258.0 ms avg latency, 1049.0 max latency.
967248 records sent, 193449.6 records/sec (23.61 MB/sec), 263.8 ms avg latency, 1122.0 max latency.
925558 records sent, 185111.6 records/sec (22.60 MB/sec), 262.8 ms avg latency, 1110.0 max latency.
981780 records sent, 193951.0 records/sec (23.68 MB/sec), 264.0 ms avg latency, 1108.0 max latency.
998457 records sent, 199691.4 records/sec (24.38 MB/sec), 262.3 ms avg latency, 1069.0 max latency.
986502 records sent, 197300.4 records/sec (24.08 MB/sec), 256.2 ms avg latency, 1008.0 max latency.
964796 records sent, 192959.2 records/sec (23.55 MB/sec), 247.5 ms avg latency, 1086.0 max latency.
936766 records sent, 186867.3 records/sec (22.81 MB/sec), 265.6 ms avg latency, 1101.0 max latency.
978852 records sent, 195770.4 records/sec (23.90 MB/sec), 271.4 ms avg latency, 1109.0 max latency.
